Pack,Freestyle Channel,Title,BPM,Composer,Vocalist,Genre,4B Normal,4B Hard,4B Maximum,4B SC,5B Normal,5B Hard,5B Maximum,5B SC,6B Normal,6B Hard,6B Maximum,6B SC,8B Normal,8B Hard,8B Maximum,8B SC,Platform Exclusivity
Clazziquai Edition,Clazziquai,In My Heart,123,Tsukasa,Misato,House Pop,3,7,10,,4,7,10,,4,8,10,13,3,7,11,13,
Clazziquai Edition,Clazziquai,Love Mode,120,Clazziquai,"Alex, Horan",Electronica,3,8,,11,2,6,9,,4,9,,13,2,6,10,,
Clazziquai Edition,Clazziquai,Lover,145,ND Lee,Young,Barbie House,5,8,10,,5,11,,13,5,8,11,,4,8,10,14,
Clazziquai Edition,Clazziquai,"Proposed, Flower, Wolf",80,ReX,EriaN,Piano Ballad,1,3,6,,1,6,,10,1,4,7,,1,3,7,10,
Clazziquai Edition,Clazziquai,Tell Me,89,Lee Geol,"Soulman & Minos, Jung-In",Couple R&B,1,6,,,2,5,9,,3,6,8,,1,8,,,
Clazziquai Edition,Clazziquai,The Clear Blue Sky,178,Tsukasa,Aki Misawa,Artcore,4,9,13,,6,8,13,15,6,9,13,14,4,10,13,14,
Clazziquai Edition,Clazziquai,The Night Stage,120,Clazziquai,"Alex, Horan",Electro Pop,3,6,,12,3,7,,,3,8,,,3,7,10,,
Clazziquai Edition,Clazziquai,To You,133,Sweetune,Miya,80's Pop,3,6,,14,2,8,,14,2,5,9,,2,7,,,
Clazziquai Edition,Clazziquai,Urban Night (Clazziquai Edition),93,hYO,Soulman & Minos,Urban R&B,4,8,,,5,8,,,3,8,,,3,,8,,
Clazziquai Edition,Clazziquai,Y,130,ND Lee,Silver,Acid House,5,8,11,14,5,10,,,5,8,11,,5,9,13,,
TECHNIKA1,Technika 1,Access,135,SPHAZER,,Techno,2,4,7,,3,6,,,3,,12,,5,7,12,,PlayStation 4
TECHNIKA1,Technika 1,Area 7,130,SPHAZER,,Techno,4,,10,,4,7,10,,5,7,11,,4,7,12,,PlayStation 4
TECHNIKA1,Technika 1,Beyond The Future,130,7 Sequence,,Technical House,4,8,11,,4,8,11,,4,9,12,,4,9,12,,PlayStation 4
TECHNIKA1,Technika 1,Dear My Lady,128,Oriental ST8,,HI-RNG,5,9,,,5,7,10,,5,7,11,,4,7,10,,PlayStation 4
TECHNIKA1,Technika 1,DJMAX,135,Humming Urban Stereo,J-Dogg,MAX HOUSE,2,7,,,3,,8,,4,8,,,4,8,,,PlayStation 4
TECHNIKA1,Technika 1,Fury,135,Sugar Donut,Sugar Donut,Punk Rock,4,9,11,,5,8,12,,6,9,12,,5,10,12,,PlayStation 4
TECHNIKA1,Technika 1,HEXAD,135,Electronic Boutique,,Electro House,5,10,13,,5,9,12,,5,9,12,,6,10,13,,PlayStation 4
TECHNIKA1,Technika 1,Honeymoon,150,Humming Urban Stereo,Yozoh,Acid Pop,3,5,8,,4,,8,,4,8,,,3,9,,,PlayStation 4
TECHNIKA1,Technika 1,I Want You,140,Lin-G,Jay,House Dance,3,6,8,,3,8,10,,5,8,11,,4,9,11,,PlayStation 4
TECHNIKA1,Technika 1,Landscape,140,Tsukasa,,Melodic Trance,6,9,,,6,8,11,,5,9,12,,7,9,13,,PlayStation 4
TECHNIKA1,Technika 1,Melody,188,"bermei.inazawa, Urbatronic Chopsticks",Esprit Lee,Cute Pop,5,8,11,,5,8,11,,4,8,12,,5,10,12,,PlayStation 4
TECHNIKA1,Technika 1,Play the Future,128,Urbatronic Chopsticks,Mellow Funk Sound,Electro House,4,9,,,5,7,10,,6,10,,,5,,10,,PlayStation 4
TECHNIKA1,Technika 1,Remember,150,Lin-G,Miya,K-Pop,3,8,10,,4,7,10,,4,7,11,,5,,11,,PlayStation 4
TECHNIKA1,Technika 1,Shoreline,135,Oriental ST8,,Balaeric House,4,8,10,,6,11,,,6,11,,,6,8,12,,PlayStation 4
TECHNIKA1,Technika 1,SON OF SUN,200,Hosoe Shinji,,Gabber,7,9,14,,7,10,14,,7,11,14,,7,10,15,,PlayStation 4
TECHNIKA1,Technika 1,Supersonic,156,Planetboom,"Planetboom, Mike Blunck",Speedcore,4,7,11,,5,8,12,,6,9,12,,6,10,13,,PlayStation 4
TECHNIKA1,Technika 1,Sweet Shining Shooting Star,140,Croove,"So Fly, JC",Acid House,3,8,10,,3,6,10,,6,,10,,6,,11,,PlayStation 4
TECHNIKA1,Technika 1,The Last Dance,102,Urbatronic Chopsticks,Esprit Lee,India Hiphop,4,,8,,5,11,,,5,10,,,4,,12,,PlayStation 4
TECHNIKA1,Technika 1,Thor,150,XeoN,,Melodic Trance,7,11,14,,6,10,14,,6,11,14,,7,11,14,,PlayStation 4
TECHNIKA1,Technika 1,Voyage,125,makou,Lin,Broken Beat,6,9,,,5,10,,,3,9,11,,5,11,,,PlayStation 4
TECHNIKA1,Respect,Do you want it,123,"House Rulez, Kali","Yehana, Kali",House,5,8,,,7,9,,,5,9,,,5,11,,,PlayStation 4
BLACK SQUARE,Respect,ANALYS,170,HAYAKO,,Psychedelic Full-on,7,11,14,,7,11,,15,7,11,14,15,8,11,14,15,
BLACK SQUARE,Black Square,Beat U Down,155,makou,,Eurobeat,8,12,14,,8,10,14,,9,12,14,15,8,10,14,,
BLACK SQUARE,Black Square,Colours of Sorrow,143,Tsukasa,Nomico,Colours Pop,4,11,,13,6,9,12,,5,9,12,13,6,9,13,,
BLACK SQUARE,Black Square,Cypher Gate,150,7 Sequence,,Hi-Break Core,5,8,,14,7,10,,14,7,10,13,,7,10,13,15,
BLACK SQUARE,Black Square,Desperado,130,Croove,JC,Electronic Funk,5,9,11,,7,11,,,5,8,11,,7,12,,,
BLACK SQUARE,Black Square,Fermion,136,makou,,Fever House,8,11,14,,7,9,14,,8,12,14,,7,10,15,15,
BLACK SQUARE,Black Square,Fever Pitch Girl,136,Nikacha,"So Fly, JC",Fever House,5,8,,13,4,7,10,,6,10,,,6,11,,13,
BLACK SQUARE,Black Square,Get Down,111,BJJ,"Brandy, Jessica Kim",Dance Rock,4,7,9,,4,9,,,4,7,10,12,5,10,,,
BLACK SQUARE,Black Square,Grave Consequence,180,Tsukasa,,DNB Trance,6,10,14,,6,10,13,,7,12,,15,7,10,14,,
BLACK SQUARE,Black Square,Heart of Witch,170,ReX,,Classical Trance,7,12,14,,7,11,15,15,7,12,14,15,8,12,15,15,
BLACK SQUARE,Black Square,In my Dream,140,ND Lee,,Mental Metal,5,10,14,,8,11,14,15,5,11,14,15,8,10,15,,
BLACK SQUARE,Black Square,Jealousy,125,3rd Coast,"So Fly, JC",Marble House,3,7,,12,3,7,9,,4,,9,,3,8,9,,
BLACK SQUARE,Black Square,Keys to the World,160,Planetboom,Yohan,Planet Core,5,8,12,14,6,9,13,,6,11,,14,6,10,13,,
BLACK SQUARE,Black Square,Lovely Hands,132,Planetboom,Miya,Electronic Pop,4,,10,,5,9,11,,3,10,,13,6,9,11,13,
BLACK SQUARE,Black Square,Lover (BS Style),145,ND Lee,Young,Barbie House,5,7,12,13,5,10,,14,4,8,11,,5,8,10,,
BLACK SQUARE,Black Square,PDM,120,"Trish, Urbatronic Chopsticks","SaetByeol, Zito",Acid Jazz,3,7,10,,4,7,9,,3,10,,14,4,9,,12,
BLACK SQUARE,Black Square,"Proposed, Flower, Wolf Part 2",160,ReX,,Progressive,3,8,,,4,10,,13,4,8,11,,5,11,,13,
BLACK SQUARE,Black Square,Ready Now,135,Ruby Tuesday,LEAH,Euro Dance,4,8,,12,4,7,9,13,4,7,10,,5,,9,13,
BLACK SQUARE,Black Square,Ruti'n,120,BEXTER,"So Fly, JC",Urban Pop,7,10,,,5,8,11,,4,9,11,,5,10,,,
BLACK SQUARE,Black Square,Secret World,110,Sweetune,Miya,Teen Pop,4,7,10,,3,8,,,4,7,10,,4,,9,,
BLACK SQUARE,Black Square,Y (BS Style),130,ND Lee,Silver,Acid House,5,8,11,13,4,7,,13,4,8,12,,4,8,12,,
Link Disc,Clazziquai,Here in the Moment ~Extended Mix~,115,Ruby Tuesday,LEAH,Bossa Nova,4,6,9,,5,8,11,,6,9,12,,5,8,11,,PlayStation 4
Link Disc,Technika 1,SON OF SUN ~Extended Mix~,200,Hosoe Shinji,,Gabber,7,10,14,,7,10,15,,7,11,14,,8,11,15,,PlayStation 4
Link Disc,Technika 2,Airwave ~Extended Mix~,150,ReX,,Melodic Trance,8,10,13,,7,10,14,,6,12,14,,7,10,13,,PlayStation 4
TECHNIKA2,Respect,End of Mythology,123,Alice Schach and the Magic Orchestra,,Pop,3,8,12,,4,,12,,5,8,12,,4,7,13,,PlayStation 4
TECHNIKA2,Technika 2,Airwave,150,ReX,,Melodic Trance,5,9,12,,6,9,13,,7,,14,,7,11,13,,PlayStation 4
TECHNIKA2,Technika 2,BEE-U-TIFUL,170,First Aid,,Drum'n Bass,6,,11,,7,10,12,,6,11,14,,6,11,14,,PlayStation 4
TECHNIKA2,Technika 2,Burn It Down,150,P'sycho-Remi,P'sycho-Remi,Industrial,4,7,9,,4,9,,,4,8,11,,5,7,12,,PlayStation 4
TECHNIKA2,Technika 2,Cosmic Fantastic Lovesong,136,DINY,Chohee,Ani Pop,2,5,9,,3,8,11,,3,7,12,,4,7,11,,PlayStation 4
TECHNIKA2,Technika 2,Cozy Quilt,141,bermei.inazawa,,Jazz House,3,9,,,2,7,,,3,7,,,3,7,12,,PlayStation 4
TECHNIKA2,Technika 2,D2,178,First Aid,,Progressive,7,,14,,6,9,13,,7,12,15,,7,11,15,,PlayStation 4
TECHNIKA2,Technika 2,Dream of Winds,150,XeoN,,Melodic Trance,5,8,12,,6,10,13,,4,8,12,,5,9,12,,PlayStation 4
TECHNIKA2,Technika 2,Dual Strikers,152,7 Sequence,,Techno Trance,6,8,,,6,9,12,,6,10,13,,7,10,13,,PlayStation 4
TECHNIKA2,Technika 2,Eternal Fantasy,127,XeoN,,Fantasy Pop,2,5,,,2,5,,,3,5,9,,3,7,,,PlayStation 4
TECHNIKA2,Technika 2,La Campanella : Nu Rave,178,Cranky,,Symphonic Rave,6,9,13,,7,12,,,7,,13,,7,11,13,,PlayStation 4
TECHNIKA2,Technika 2,Love is Beautiful,152,Electronic Boutique,Kastle,Flipper's Rock,4,5,7,,5,8,,,4,7,9,,5,9,,,PlayStation 4
TECHNIKA2,Technika 2,MonoXide,135,Planetboom,,Planet Core,5,9,12,,6,12,,,6,9,12,,5,12,,,PlayStation 4
TECHNIKA2,Technika 2,Nova (Mr.Funky Remix),136,"BEXTER, Mr.Funky",Mike Blunck,Nu Skool Breakz,5,7,,,6,10,,,7,10,12,,6,,12,,PlayStation 4
TECHNIKA2,Technika 2,Put Em Up,100,makou,,Reggaeton Like,2,5,8,,5,9,,,3,6,9,,5,10,,,PlayStation 4
TECHNIKA2,Technika 2,Puzzler,130,Electronic Boutique,,Toy Pop,5,,10,,4,10,,,4,11,,,5,9,12,,PlayStation 4
TECHNIKA2,Technika 2,Rage of Demon,196,NieN,NieN,Nu Metal,6,11,15,,8,11,15,,8,12,15,,8,13,15,,PlayStation 4
TECHNIKA2,Technika 2,Say It From The Heart,130,makou,,Classic Handbag,3,5,10,,4,8,10,,3,8,,,4,9,,,PlayStation 4
TECHNIKA2,Technika 2,Sweet Dream,140,Lin-G,Jay,House Dance,4,6,10,,3,5,8,,4,7,11,,5,11,,,PlayStation 4
TECHNIKA2,Technika 2,The Guilty,155,P'sycho-Remi,,Speed Funk,4,7,12,,6,10,13,,7,12,,,7,,13,,PlayStation 4
TECHNIKA2,Technika 2,Trip,114,NieN,An Shin Ae,Dance Pop,1,4,6,,2,5,8,,3,5,8,,3,5,8,,PlayStation 4
TECHNIKA2,Technika 2,XLASHER,160,Hosoe Shinji,Mr.Yoshida,Slash Core,4,8,11,,5,10,13,,4,8,13,,6,10,13,,PlayStation 4
TECHNIKA2,Technika 2,Thor ~Extended Mix~,150,XeoN,,Melodic Trance,5,11,14,,6,10,14,,6,11,14,,8,,14,,PlayStation 4
TECHNIKA2,Technika 2,Y ~Extended Mix~,130,ND Lee,Silver,Acid House,6,,12,,6,10,12,,6,9,12,,6,10,13,,PlayStation 4
TECHNIKA3,Respect,ALiCE,145,seibin,"Jang Yena, Jang Mi",Fantasy Pop,4,8,12,,5,9,11,,5,9,11,,5,10,12,,PlayStation 4
TECHNIKA3,Technika 3,설레임 Part 2,156,ND Lee,Miya,Cute Pop,2,4,8,,5,8,,,4,,10,,6,,11,,PlayStation 4
TECHNIKA3,Technika 3,유령,125,STi,"Soojung, STi",Fusion Hiphop,3,5,9,,4,,8,,4,9,,,5,10,12,,PlayStation 4
TECHNIKA3,Technika 3,AD2222,140,Croove,Fumi,Broken Beat,5,8,11,,6,9,13,,6,10,13,,6,10,12,,PlayStation 4
TECHNIKA3,Technika 3,AD2222 ~Extended Mix~,140,Croove,,Junkno,5,10,12,,6,10,13,,7,,13,,7,10,13,,PlayStation 4
TECHNIKA3,Technika 3,A Live With You,122,makou,,Junkno,4,,9,,4,6,10,,6,10,12,,6,12,,,PlayStation 4
TECHNIKA3,Technika 3,Angel,170,"Laurent Newfield, Ravenant",Halya,Euro Dance,4,9,12,,6,10,12,,6,9,13,,6,10,12,,PlayStation 4
TECHNIKA3,Technika 3,Bamboo on Bamboo,200,Sampling Masters MEGA,,Gabba,7,12,15,,6,12,14,,7,12,15,,8,12,15,,PlayStation 4
TECHNIKA3,Technika 3,Black Swan,116-174,TAK,,Electronic Waltz,5,8,12,,5,11,13,,5,10,12,,6,10,14,,PlayStation 4
TECHNIKA3,Technika 3,Dark Prism,149,Tsukasa,,Melodic Trance,7,13,,,5,12,13,,5,11,13,,6,,13,,PlayStation 4
TECHNIKA3,Technika 3,Dream Again,140,DINY,CREHA,Ani Pop,2,5,9,,4,7,,,4,7,,,3,9,10,,PlayStation 4
TECHNIKA3,Technika 3,EGG,176,Nauts,ZeeN,Light Pop,4,7,10,,5,10,13,,5,10,12,,6,10,13,,PlayStation 4
TECHNIKA3,Technika 3,EGG ~Extended Mix~,176,Nauts,ZeeN,Light Pop,4,7,11,,6,10,,,5,11,13,,7,13,,,PlayStation 4
TECHNIKA3,Technika 3,Emblem,240,makou,,Irish Dance,8,12,14,,6,9,13,,8,13,,,6,9,14,,PlayStation 4
TECHNIKA3,Technika 3,Fallin' in LUV,132,3rd Coast,"So Fly, JC",Luv Pop,3,7,,,3,8,10,,3,6,10,,5,,10,,PlayStation 4
TECHNIKA3,Technika 3,Feel Ma Beat,100,NieN,"NieN, Jae Hwan",Rap Metal,7,10,14,,9,11,14,,8,11,14,,8,11,14,,PlayStation 4
TECHNIKA3,Technika 3,Give Me 5,121,ND Lee,Baby Chou,Soulful House,5,,10,,5,9,11,,5,9,,,5,9,11,,PlayStation 4
TECHNIKA3,Technika 3,Kung-Fu Rider,133,AstroKid,,Oriental Funk,6,9,,,6,10,,,6,10,,,6,10,12,,PlayStation 4
TECHNIKA3,Technika 3,"My Heart, My Soul",123,3rd Coast,"So Fly, JC",R&B Slow,2,6,,,5,7,,,4,7,10,,4,10,,,PlayStation 4
TECHNIKA3,Technika 3,Now a NEW Day,158,Sui.Jay,Sui.Jay,Electric Pop,3,7,10,,5,8,11,,5,9,11,,5,8,11,,PlayStation 4
TECHNIKA3,Technika 3,Out of CTRL,176,Mr.Funky,Yohan,Drum & Bass,7,10,13,,7,11,,,7,13,,,6,10,13,,PlayStation 4
TECHNIKA3,Technika 3,Over the Rainbow,190,Tsukasa,Aki Misawa,Ani Pop,7,12,,,5,9,12,,7,10,13,,7,13,,,PlayStation 4
TECHNIKA3,Technika 3,Right Back,175,TANUKI,,UK Hardcore,8,11,14,,8,,13,,7,10,13,,5,10,14,,PlayStation 4
TECHNIKA3,Technika 3,Showdown,145,LeeZu,,Brass Funk,5,9,13,,6,8,,,5,11,13,,6,10,13,,PlayStation 4
TECHNIKA3,Technika 3,SigNalize,132,Paul Bazooka,,Electro Trance,6,8,10,,7,9,,,7,,13,,6,10,14,,PlayStation 4
TECHNIKA3,Technika 3,SuperNova,165,cranky,,Rave,4,,11,,6,,12,,5,9,13,,6,,14,,PlayStation 4
TECHNIKA3,Technika 3,Supersonic 2011,148,Sound LAB,"Planetboom, Mike Blunck, Sound LAB",Rock Band,6,12,,,7,11,,,7,12,,,5,10,13,,PlayStation 4
TECHNIKA3,Technika 3,Wanna Be Your LOVER,128,"Laurent Newfield, Ravenant",Alex Ray,80's Dance,1,4,7,,5,8,,,4,,10,,4,10,,,PlayStation 4
TECHNIKA3,Technika 3,Xeus,148,XeoN,,Melodic Trance,6,11,13,,8,11,13,,7,12,14,,6,11,14,,PlayStation 4
TECHNIKA3,Technika 3,You & Me,136,NieN,"Jeong Sang Hui, Hyerin",K-Pop,3,4,7,,4,8,,,3,7,10,,3,7,10,,PlayStation 4
Emotional Sense,Emotional S.,Cosmic Elevator,164,Forte Escape,,Ani Pop,4,8,,,5,10,,,6,12,,,6,12,,,
Emotional Sense,Emotional S.,Feel,124,DJ Mocha,Yujin,Acid Pop,4,7,,12,4,9,,,5,,10,13,6,,11,,
Emotional Sense,Emotional S.,Knowledge System,140,Forte Escape,,Techno,6,10,,14,7,11,13,,7,10,13,,7,10,13,15,
Emotional Sense,Emotional S.,Real Over Drive,152,NieN,,Hardcore,7,,12,,6,11,,14,7,13,,,7,13,,15,
Emotional Sense,Emotional S.,Space of Soul,160,M2U,Ring,SymphonicHouse,6,10,14,,7,12,14,15,7,12,14,15,7,12,14,,
Emotional Sense,Emotional S.,Super Lovely,170,EarBreaker,,Euro Beat,7,11,15,,6,12,15,15,6,11,15,15,6,12,15,,
Emotional Sense,Emotional S.,Urban Night (DJMAX Online),124,Electronic Boutique,,Urban House,5,13,,,5,12,,14,6,,13,15,6,,13,,
Emotional Sense,Emotional S.,Yo! Max!,72,ND Lee,ND Lee,R&B,2,8,,,4,8,,,4,,8,,4,8,,,
V Extension,V Extension,Attack,150,Mr.Funky,,Hard Dance,4,7,10,14,5,9,,15,5,10,13,,6,8,14,15,
V Extension,V Extension,BLACK GOLD,155,cranky,Pico,Rave,6,11,13,,6,12,14,15,6,12,14,15,6,11,14,,
V Extension,V Extension,Do It,129,House Rulez,Lee YoonJung,House,5,8,12,,7,,11,,5,11,,13,5,11,,,
V Extension,V Extension,Dream It,175,Bexter,DyoN Joo,Modern Rock,4,8,11,15,4,7,11,,4,7,10,15,5,8,12,,
V Extension,V Extension,Fancy Night,122,Sina x Chuck,,Electro Rock,2,5,9,,4,6,9,,4,7,9,,6,,10,,
V Extension,V Extension,FIGHT NIGHT (feat. Calyae),190,Messier,Calyae,J-Rock,5,8,13,15,6,10,13,,6,10,13,,8,12,14,15,
V Extension,V Extension,Kensei,170,Pure 100%,,Happy Hardcore,7,10,14,,8,12,14,15,7,11,14,15,8,12,14,,
V Extension,V Extension,Lisrim,172,onoken,,Art Core,6,8,14,,6,9,13,15,5,8,13,15,6,10,14,,
V Extension,V Extension,Lost Serenity,162,Benicx,,Cinematic Fantasy,4,7,10,,4,8,11,,4,7,11,,6,11,,,
V Extension,V Extension,Lost Temple,104,IMLAY,,Mid Tempo Dubstep,5,8,,,3,8,11,,5,8,10,,5,7,12,,
V Extension,V Extension,Maharajah -fenomeno edition-,120,Alice Schach and the Magic Orchestra,,(Not specific),3,5,10,13,5,9,11,13,5,7,11,14,6,9,12,,
V Extension,V Extension,Misty Er'A,66-120,Mycin.T x jam-jam,jam-jam,Ethnic Fantasy,3,6,10,,3,7,10,,4,9,,15,5,7,10,,
V Extension,V Extension,Move Yourself,125,"IMLAY, YESSO",YESSO,Progressive House,2,4,7,,4,6,9,,5,7,10,,4,7,11,,
V Extension,V Extension,NANAIRO,150,HAYAKO,,Future Bass,3,8,11,14,5,8,12,,5,8,12,14,5,9,13,,
V Extension,V Extension,Never Die,172,Paul Bazooka,,Drum'n Bass,5,9,14,,7,10,14,15,6,10,14,,6,11,14,15,
V Extension,V Extension,Remember Me,180,NieN,DyoN Joo,Rock,7,10,12,,6,10,13,15,7,11,13,,7,11,14,15,
V Extension,V Extension,Space Challenger,170,Bagagee Viphex13,,UK Hardcore,4,10,,,5,8,12,,5,9,12,,5,11,,,
V Extension,V Extension,Vile Requiem,75-150,GOTH,,Dubstep,7,13,,,6,10,13,,5,10,13,,6,10,14,,
V Extension,V Extension,welcome to the space (feat. Jisun),135,Pory,Jisun,Progressive House,3,6,9,,4,8,11,,4,,10,,4,9,11,,
V Extension,V Extension,WONDER $LOT 777,155,MYUKKE.,,Casino Core,5,10,14,,7,10,13,15,7,9,14,15,7,11,14,,
Guilty Gear,Collaboration,Break a Spell,200,"Daisuke Ishiwatari, Norichika Sato",Naoki Hashimoto,,5,9,14,,6,10,,15,7,9,14,15,7,10,14,,
Guilty Gear,Collaboration,Holy Orders (Be Just Or Be Dead),120,"Daisuke Ishiwatari, Norichika Sato",,,4,9,11,14,6,8,11,,6,9,12,,6,10,11,15,
Guilty Gear,Collaboration,Marionette,136,"Daisuke Ishiwatari, Norichika Sato",,,5,9,13,,7,12,,15,6,10,13,15,8,,13,,
Dok2 – Only On,Collaboration,Only On,96,"Dok2, HELIXX",Dok2,,2,5,,,3,6,,,2,5,,,3,5,8,,PlayStation 4
Girls' Frontline,Collaboration,Barbarous Funera,140,Rikako Watanabe,ErumNagi,,4,8,11,,5,9,12,,6,9,12,,7,,13,,PlayStation 4
Girls' Frontline,Collaboration,Frontline,198,"B@kamin, M2U",Guriri,,4,8,12,,6,10,,,6,10,,,6,9,13,,PlayStation 4
Girls' Frontline,Collaboration,What am I fighting for?,175,Haloweak,AKINO with bless4,,3,7,,4,10,,4,,12,6,12,,,,,,PlayStation 4
GROOVE COASTER,Collaboration,Black MInD,192,COSIO,,,5,9,14,,6,12,14,,6,12,14,15,5,12,14,15,
GROOVE COASTER,Collaboration,"Good Night, Bad Luck.",142.5,t+pazolite,,,5,,13,,6,11,14,15,8,11,14,,7,12,14,15,
GROOVE COASTER,Collaboration,Got more raves?,133,E.G.G.,,,4,7,12,,6,10,13,15,5,10,12,15,6,10,13,,
GROOVE COASTER,Collaboration,Groove Prayer,190,COSIO,ChouCho,,3,5,8,15,5,8,11,,5,,11,,4,9,11,14,
GROOVE COASTER,Collaboration,HB-axeleration,158,Tsukasa,Erica Masaki,,2,6,12,,4,8,12,,4,11,,,6,9,12,,
GROOVE COASTER,Collaboration,"Marry me, Nightmare",114-142,t+pazolite,,,6,11,13,,7,,14,15,7,11,13,,8,12,14,,
GROOVE COASTER,Collaboration,ouroboros -twin stroke of the end-,188,"cranky, MASAKI",,,7,12,15,15,7,13,15,15,8,13,15,15,8,12,15,,
GROOVE COASTER,Collaboration,OVER THE NIGHT,175,REDALiCE,Ayumi Nomiya,,5,8,,14,5,9,,,5,,11,15,7,12,,,
GROOVE COASTER,Collaboration,Satisfiction,195,t+pazolite,,,5,8,,14,6,9,11,14,7,11,14,,5,10,13,,
GROOVE COASTER,Collaboration,Warrior,170,cranky,,,7,11,14,,5,11,15,,6,11,14,15,6,11,14,15,
Deemo,Collaboration,Angelic Sphere,143,3R2,,,4,9,13,14,5,10,13,,4,8,13,15,6,9,12,,
Deemo,Collaboration,ANiMA,183.5,xi,,,6,9,14,15,8,13,15,15,7,13,15,15,8,12,15,,
Deemo,Collaboration,Dream,150,Rabpit,,,2,,8,,3,,10,,2,,11,,5,8,11,,
Deemo,Collaboration,Legacy,120,switchworks,,,3,7,9,,4,8,,,4,8,,13,4,8,11,13,
Deemo,Collaboration,Magnolia,160,M2U,Guriri,,6,10,13,14,6,10,11,14,6,11,13,14,7,11,13,,
Deemo,Collaboration,Nine point eight,164,Mili,momocashew,,5,8,12,,5,9,12,13,6,9,12,,7,11,,14,
Deemo,Collaboration,Sairai,95,Shinichi Kobayashi,,,3,,8,12,3,6,9,,5,,9,12,5,7,12,,
Deemo,Collaboration,Undo,141,Yuk-cheung Chun,Misi Ke,,4,9,,,5,7,10,,4,7,10,,4,8,10,,
Deemo,Collaboration,Utopiosphere,176,Mili,momocashew,,4,6,10,,4,8,,13,4,8,12,,5,11,,13,
Deemo,Collaboration,YUBIKIRI-GENMAN,146,Mili,momocashew,,5,10,,,5,,11,,4,,10,,4,,10,13,
Cytus,Collaboration,AXION,160,sakuzyo,,,4,,12,,5,12,,14,5,11,13,15,5,13,,,
Cytus,Collaboration,CODE NAME: ZERO,185-200,NeLIME,,,5,12,,15,6,12,15,,5,12,13,15,6,12,14,,
Cytus,Collaboration,conflict,160,Cranky+siromaru,,HARMONIC SCHRANZ,5,11,14,,6,12,,15,4,11,14,15,7,11,14,,
Cytus,Collaboration,EMber,145.12,SIHanatsuka,,,5,12,,,6,10,,15,4,10,13,,6,12,15,15,
Cytus,Collaboration,Entrance,180,Ice,,,7,,15,,7,13,,,9,,15,15,6,12,15,15,
Cytus,Collaboration,L,155,Ice,,,3,12,,15,5,,14,,6,12,15,15,8,,15,15,
Cytus,Collaboration,Les Parfums de L'Amour,138-240,naotyu-,miyu,,4,,13,,7,,13,,5,,12,,8,14,,,
Cytus,Collaboration,Mammal,190,Teikyou,,,6,12,15,,6,12,15,15,6,12,14,,8,12,15,15,
Cytus,Collaboration,Myosotis,160,M2U,Guriri & Lucy,Symphonic Dubstep,5,10,13,,6,12,,15,5,10,13,,7,,14,,
Cytus,Collaboration,Old Gold,155,Cranky,Pico,,6,11,,13,6,11,13,,5,10,13,,6,11,13,14,
Cytus,Collaboration,Shoot Out,140,Tsukasa,,,3,8,12,,4,11,13,,4,10,13,,5,9,13,,
Cytus,Collaboration,Ververg,190,onoken,"moco, b, Rin",,4,,9,13,4,,12,14,4,10,,,4,12,,,
