Type,BPM,Artist,Song Title,Version,Single,Double,Single Performance,Double Performance,Co-Op,Series,Channel,Exclusivity
Normal,120,Banya,A Nightmare,1,1 4,13,,5,,1st ~ Perfect,Original,
Normal,130,Banya,All I Want For X-mas,1,3 6 11,7,,,,1st ~ Perfect,Original,
Normal,136,Novasonic,Another Truth,1,3 5 8 15,6 16 17 22,,,,1st ~ Perfect,K-Pop,
Normal,162,Banya,Beethoven Virus,1,4 7 8 13 16 17,8 18 20,,3,,1st ~ Perfect,Original,
Normal,136,Banya,Betrayer,1,1 5 8 13 16,8 13 17,2,,,1st ~ Perfect,Original,
Normal,105,Banya,Close Your Eye,1,4,,2,3,,1st ~ Perfect,Original,
Normal,158,Sechs Kies,Com'Back,1,4 6 8 15,7 16,,,,1st ~ Perfect,K-Pop,
Normal,110,Tashannie,Don't Bother Me,1,4 5 10,5 13,2,,,1st ~ Perfect,K-Pop,
Normal,195,Banya,Extravaganza,1,4 7 9 11 16 21,12 17 19,,,,1st ~ Perfect,Original,
Normal,130,Banya,Final Audition,1,2 6 7 9 15 17,15 17,,3,,1st ~ Perfect,Original,
Normal,130,Banya,Final Audition 2,1,4 7 8 10 16,8 17 19,,3,,1st ~ Perfect,Original,
Normal,104,Banya,First Love,1,4 9,14,1,4,,1st ~ Perfect,Original,
Normal,99,Banya,Free Style,1,13,,1,3,,1st ~ Perfect,Original,
Normal,105,CLON,Funky Tonight,1,2 4 5 12,4 14,,,,1st ~ Perfect,K-Pop,
Normal,180,Banya,Hypnosis,1,7 15 18,8 15 18,,,,1st ~ Perfect,Original,
Normal,146,Banya,Ignition Starts,1,8 15 18,10 17,,,,1st ~ Perfect,Original,
Normal,80,Banya,Midnight Blue,1,12,13,4,5,,1st ~ Perfect,Original,
Normal,106,Sechs Kies,Mobius Strip,1,2 4 6 12,7 14,,,,1st ~ Perfect,K-Pop,
Normal,190,Banya,Mr. Larpus,1,3 5 11 14 20 22,14 17 23,,,,1st ~ Perfect,Original,
Normal,106,Banya,N,1,5 16,16,2,5,,1st ~ Perfect,Original,
Normal,136,Banya,Naissance,1,4 7 8 10 16 20,7 15,,,,1st ~ Perfect,Original,
Normal,148,Banya,Oh! Rosa,1,7 13,7,,,,1st ~ Perfect,Original,
Normal,106,Banya,Pump Jump,1,4 15,17,2,4,,1st ~ Perfect,Original,
Normal,135,Banya,Pumping Up,1,4 12,15,,,,1st ~ Perfect,Original,
Remix,150,Banya,Repeatorment Remix,1,7 19,8,,,,1st ~ Perfect,Remix,
Normal,142,Banya,Rolling Christmas,1,3 5 8 13,5 13 17,,,2,1st ~ Perfect,Original,
Normal,230,Banya,She Likes Pizza,1,8 9 21,9 16 23,,,,1st ~ Perfect,Original,
Normal,131,Novasonic,Slam,1,3 6 9 17 18,6 20 23,,,,1st ~ Perfect,K-Pop,
Normal,136,Banya,Solitary,1,2 4 6 8 9 16 17,7 16,3,5,,1st ~ Perfect,Original,
Normal,150,Banya,Turkey March,1,3 7 12 15 18,9 17 19,,,2,1st ~ Perfect,Original,
Remix,170,Banya,Banya Classic Remix,1,7 19,11 20,,,,Exceed ~ Zero,Remix,
Remix,99,Banya,BANYA HIPHOP REMIX,1,6 7,20,,6,,Exceed ~ Zero,Remix,
Normal,190,Banya,Beat of The War 2,1,4 5 6 10 16,12 19,,,,Exceed ~ Zero,Original,
Normal,158,Banya,Blazing,1,3 6 9 15 19,19,,,,Exceed ~ Zero,Original,
Normal,160,Banya,Canon D,1,3 7 9 17 20 21,10 17 22,,,2,Exceed ~ Zero,Original,
Full,160,Banya,Canon D Fullmix,1,11 16,23 24,,,,Exceed ~ Zero,Full Song,
Normal,149,Louis,Chung Hwa Ban Jeom,1,4 6 9 14,16,1,2,,Exceed ~ Zero,K-Pop,
Normal,115,SOM2,Deja Vu,1,1 3 6 13,6 13,,,,Exceed ~ Zero,K-Pop,
Normal,130,Banya,Final Audition 3,1,2 5 6 9 14 17,17 19,3,5,,Exceed ~ Zero,Original,
Normal,180,Banya,Get Up,1,4 8 13,9 17 18,,,,Exceed ~ Zero,Original,
Normal,145,Banya,Hi Bi,1,3 5 8 15 18,8 18 20,,,,Exceed ~ Zero,Original,
Normal,164,Wax,I'll Give You All My Love,1,2 4 7 16,7 18,,,,Exceed ~ Zero,K-Pop,
Normal,140,Banya,J Bong,1,3 5 7 8 13,17,,5,,Exceed ~ Zero,Original,
Remix,169,Banya,Love is a Danger Zone 2 Try To B.P.M,1,12 20,14 23,,,,Exceed ~ Zero,Remix,
Normal,162,Banya,Love is a Danger Zone pt. 2,1,4 7 9 15 21,17 23,,,,Exceed ~ Zero,Original,
Normal,186,Banya,Monkey Fingers,1,3 5 8 15,17,5,,,Exceed ~ Zero,Original,
Normal,180,Banya,Moonlight,1,4 7 10 18 19,11 20 21,,,,Exceed ~ Zero,Original,
Normal,129,Banya,Naissance 2,1,6 13,15 19,3,5,,Exceed ~ Zero,Original,
Normal,145,Banya,Papa Gonzales,1,4 6 8 14,7 18,,,,Exceed ~ Zero,Original,
Normal,136,Banya,Phantom,1,2 7 12 17 18,12 19 20,,7,,Exceed ~ Zero,Original,
Normal,170,Banya,Pump Me Amadeus,1,3 5 9 17,10 18 19,,,,Exceed ~ Zero,Original,
Normal,136,Banya,Solitary 2,1,4 6 8 17,18 21,3,6,,Exceed ~ Zero,Original,
Remix,202,Banya,Tream Vook of the war,1,11 19,13 22,,,,Exceed ~ Zero,Remix,
Normal,195,Banya,Witch Doctor,1,4 6 10 16 19 21,19 22 23,,,,Exceed ~ Zero,Original,
Normal,162,Banya,X Treme,1,4 7 9 14 18,13 19,,,,Exceed ~ Zero,Original,
Normal,202,Banya,Beat of The War,1,3 5 9 10 15 18 21,12 19 23,,,,Extra ~ Prex 3,Original,
Normal,160,Banya,Bee,1,4 7 10 11 15 19,11 19 21 23,,,,Extra ~ Prex 3,Original,
Normal,200,Banya,CHICKEN WING,1,4 6 9 10 17 19 21,11 17 23,,,,Extra ~ Prex 3,Original,
Normal,107,Banya,Come to Me,1,4 6 11 12 15,13 14,3,6,,Extra ~ Prex 3,Original,
Normal,180,Banya,Csikos Post,1,3 7 10 13,8 16 21,,,,Extra ~ Prex 3,Original,
Normal,150,Banya,D Gang,1,4 6 9 18,7 15 17,,,,Extra ~ Prex 3,Original,
Normal,122,Banya,Dance with me,1,2 4 6 12 14,15,4,4 6,,Extra ~ Prex 3,Original,
Normal,145,Banya,Dr. M,1,3 7 9 12 16,11 16,,,,Extra ~ Prex 3,Original,
Normal,150,Banya,Emperor,1,2 5 8 11 16,17,3,3,,Extra ~ Prex 3,Original,
Normal,189,Banya,Final Audition Ep. 1,1,4 7 8 13 15 19,11 21 23,,,,Extra ~ Prex 3,Original,
Normal,96,Banya,Get Your Groove On,1,4 6 13,9 21,,,,Extra ~ Prex 3,Original,
Normal,140,Banya,Hello,1,7 16,9 16,,,,Extra ~ Prex 3,Original,
Normal,140,Banya,Love is a Danger Zone,1,3 7 10 15 19,6 15 20,,,2,Extra ~ Prex 3,Original,
Normal,136,Banya,Maria,1,6 11 15 18,15 19,,,,Extra ~ Prex 3,Original,
Normal,111,Banya,Miss S' story,1,5 18,19,3,5,,Extra ~ Prex 3,Original,
Normal,124,Banya,Mission Possible,1,5 7 13 19,8,,,,Extra ~ Prex 3,Original,
Normal,118,Banya,My Way,1,3 5 8 12,15 18,2,4 6,,Extra ~ Prex 3,Original,
Normal,148,Banya,Oy Oy Oy,1,4 6 8 13,13,2,3,,Extra ~ Prex 3,Original,
Normal,92,Banya,Point Break,1,6,14,3,6,,Extra ~ Prex 3,Original,
Normal,120,Banya,Set me up,1,2 4 6 9 13,,4,4 7,,Extra ~ Prex 3,Original,
Normal,124,Banya,Street show down,1,7 15,13,4,6,,Extra ~ Prex 3,Original,
Normal,140,Banya,Till the end of time,1,2 4 9 13 17,8 13 16,,3,,Extra ~ Prex 3,Original,
Normal,110,Banya,Top City,1,4 6 12,7,,,,Extra ~ Prex 3,Original,
Normal,184,Banya,Vook,1,4 7 9 15 17 20,12 17 18 19,,,,Extra ~ Prex 3,Original,
Normal,118,Banya,We will meet again,1,3 8 13 14,8,,,,Extra ~ Prex 3,Original,
Normal,210,Banya,Will-O'-The-Wisp,1,3 5 10 13 19,10 13 19 21,,,,Extra ~ Prex 3,Original,
Normal,168,Banya,Winter,1,4 6 8 15 19,11 17 19,,,,Extra ~ Prex 3,Original,
Normal,160,Banya Production,Arirang,1,9 18 22,10 20,,2,,Fiesta,Original,
Remix,164,Banya Production,B.P Classic Remix,1,12 18,13 19,,,,Fiesta,Remix,
Remix,180,Banya Production,B.P Classic Remix 2,1,11 18,,,,,Fiesta,Remix,
Short,210,Yahpp,Bemera,1,13 21 23,19,,,,Fiesta,Short Cut,
Normal,92,msgoon,Betrayer -act.2-,1,4 6 10,15,3,3,,Fiesta,Original,
Short,200,Banya,CHICKEN WING,1,20,,,,,Fiesta,Short Cut,
Full,210,Vassline,Dawn of The Apocalypse,1,15 21,,,,,Fiesta,Full Song,
Full,115,SOM2,Deja Vu,1,7 16,14 23,,,,Fiesta,Full Song,
Normal,150,SHK,Destination,1,4 7 11 16 18 19,13 20,,5,,Fiesta,Original,
Short,150,SHK,Destination,1,9 15,18 20,,,,Fiesta,Short Cut,
Normal,143,Nina Pilots,Dieciseis,1,2 4 6 13,5 15,,,,Fiesta,World,
Normal,96,Banya Production,Do It Reggae Style,1,13,15,4,5,,Fiesta,Original,
Short,178,Banya,Exceed2 Opening,1,15,19,,,,Fiesta,Short Cut,
Short,195,Banya,Extravaganza,1,14,14 21,15,,,Fiesta,Short Cut,
Short,130,Banya,Final Audition 2,1,16,17,,,,Fiesta,Short Cut,
Short,130,Banya,Final Audition 3,1,17,16,,,,Fiesta,Short Cut,
Short,170,Yahpp,Final Audition Ep. 2-X,1,20,19,,,,Fiesta,Short Cut,
Normal,164,Banya Production,Get Up (and go),1,4 7 10 17,11 20,,3,,Fiesta,Original,
Remix,196,Banya Production,Hard Core Rock Mix,1,18 21,,,,,Fiesta,Remix,
Normal,170,Banya Production,Hello William,1,4 6 9 17 19,9 21,,,,Fiesta,Original,
Short,156,Banya Production,K.O.A : Alice In Wonderworld,1,6 16,18,,,,Fiesta,Short Cut,
Short,140,Banya,Love is a Danger Zone,1,13 20,17,,,,Fiesta,Short Cut,
Short,162,Banya,Love is a Danger Zone pt. 2,1,8 19,21,,,,Fiesta,Short Cut,
Normal,128,Banya Production,Mission Possible -Blow Back-,1,18,17,3,5,,Fiesta,Original,
Short,180,Banya,Moonlight,1,16 18,20,,,,Fiesta,Short Cut,
Remix,102,msgoon,msgoon RMX pt.5,1,17,17,3,4,,Fiesta,Remix,
Remix,150,msgoon,msgoon RMX pt.6,1,20,19,,,,Fiesta,Remix,
Normal,185,Doin,Napalm,1,13 19 22,14 23,,,,Fiesta,Original,
Full,164,PXNDX,NARCISISTA POR EXCELENCIA,1,17,18,,,,Fiesta,Full Song,
Normal,164,PXNDX,NARCISISTA POR EXCELENCIA,1,3 5 8 16,9 18,,,,Fiesta,World,
Short,133,Yahpp,NX Opening,1,16,17,,,,Fiesta,Short Cut,
Remix,158,Banya Production,PaPa helloizing,1,8 19,,,,,Fiesta,Remix,
Normal,140,Banya Production,Phantom -Intermezzo-,1,3 7 12 15 19 21,15 19 20,,3,,Fiesta,Original,
Remix,151,Banya Production,Pro POP Mix,1,17,,,,,Fiesta,Remix,
Short,160,PXNDX,Procedimientos Para Llegar A Un Común Acuerdo,1,18,16,,,,Fiesta,Short Cut,
Normal,116,Banya Production,Pumping Jumping,1,1 3 5 13 15 17 19,6 17,4,5 6,,Fiesta,Original,
Short,162,Yahpp,Pumptris 8Bit ver.,1,8 16,22,,,,Fiesta,Short Cut,
Remix,122,Banya Production,Set Up Me2 Mix,1,17,,,,,Fiesta,Remix,
Short,136,Banya,Solitary 2,1,18,17,,,,Fiesta,Short Cut,
Normal,158,Yahpp,Sorceress Eliese,1,4 6 8 10 15 18 21 23,8 17 24,,,2,Fiesta,Original,
Normal,132,Banya Production,Tek -Club Copenhagen-,1,3 5 16 17,17,5,4,,Fiesta,Original,
Normal,145,Doin,Tepris,1,2 4 7 16,9 18,,,2,Fiesta,Original,
Normal,130,Banya Production,Turkey March -Minimal Tunes-,1,3 6 8 17,10 18,,1,,Fiesta,Original,
Normal,127,MAX,U Got 2 Know,1,2 7 8 17 18 19,18,2,4,,Fiesta,Original,
Normal,200,Doin,Vacuum,1,19 21 23,22 25,,3,,Fiesta,Original,
Short,168,Banya,Winter,1,6 9 16,10 17,,,,Fiesta,Short Cut,
Short,195,Banya,Witch Doctor,1,14 20,16,,,,Fiesta,Short Cut,
Normal,152,Banya Production,Xenesis,1,4 7 10 18,12 15 18,1,,,Fiesta,Original,
Normal,190,Yahpp,XTREE,1,3 7 12 20,14 18 22,2,3,,Fiesta,Original,
Normal,183,MAX,Accident,1,4 7 10 19,11 20,,,,Fiesta 2,Original,
Normal,135,Zicron,Baroque Virus,1,5 9 17,11 18 20,,,,Fiesta 2,World,
Normal,142,Stian K,Be Alive (Raaban Inc. Mix),1,2 5 8 15 17,10 16,,,2,Fiesta 2,World,
Normal,180,MAX,D,1,4 7 9 18,11 18 19,,,,Fiesta 2,Original,
Normal,141,Ben Chalatit,Dam,1,1 3 5 8,4 9,,,,Fiesta 2,World,
Normal,178,Nightmare,Dream To Nightmare,1,19 21 22,22 24,,,,Fiesta 2,World,
Normal,162,DM Ashura,Elise,1,4 7 10 17 19 22,13 16 23,,,2,Fiesta 2,Original,
Normal,200,Doin,FFF,1,10 17 23,12 22 24,,,3,Fiesta 2,Original,
Short,200,Doin,FFF,1,18,21,,,,Fiesta 2,Short Cut,
Normal,155,SHK,Follow Me,1,4 6 9 14 17,9 18,,,2,Fiesta 2,Original,
Normal,190,Diclonius Kid,Hardkore of the North,1,4 7 11 21,16 23,,,,Fiesta 2,World,
Normal,185,ZURi-ZiLL,Heel and Toe,1,2 7 9 17,11,,,2,Fiesta 2,World,
Normal,175,Banya & SynthWulf,Hypnosis (SynthWulf Mix),1,8 11 17 21,13 15 20,,,,Fiesta 2,Original,
Normal,220,Banya & DM Ashura,Ignus Fatuus (DM Ashura Mix),1,9 15 19 23,15 17 19 23 25,,,2,Fiesta 2,Original,
Short,220,DM Ashura,Ignus Fatuus (DM Ashura Mix),1,21,21,,,,Fiesta 2,Short Cut,
Remix,175,SynthWulf & MAX,Infinity RMX,1,20,20,,,,Fiesta 2,Remix,
Normal,133,Coconut,Ladybug,1,1 3 5 13,13,,,2,Fiesta 2,World,
Normal,140,SHK,Log In,1,4 7 10 18 21,10 20,,,,Fiesta 2,Original,
Normal,155,Banya & Cranky,Love Is A Danger Zone (Cranky Mix),1,6 12 18 20 22,8 16 20 24,,,2,Fiesta 2,Original,
Normal,190,Yak Won,Lucid (PIU Edit),1,4 7 10 16 20,11 20 23,,,2,Fiesta 2,Original,
Normal,140,SQUAR,Mental Rider,1,12 16 21,13 19 22 23,,,,Fiesta 2,Original,
Normal,196,Affinity,Monolith,1,3 5 9 16,13 18 23,,,,Fiesta 2,World,
Normal,118,Saykoji,Online,1,1 4 6 15,4 15,,,,Fiesta 2,World,
Normal,175,SynthWulf,Passacaglia,1,4 7 10 16 20,12 17 22 24,,,,Fiesta 2,World,
Short,175,SynthWulf,Passacaglia,1,17,18,,,,Fiesta 2,Short Cut,
Normal,160,J-Mi & Midi-D,Pop The Track,1,2 7 9 16 19,9 18 20,,,2,Fiesta 2,World,
Short,160,J-Mi & Midi-D,Pop The Track,1,18,16,,,,Fiesta 2,Short Cut,
Normal,125,Sanxion7,Rainspark,1,2 5 9 15,5 17,,,,Fiesta 2,World,
Normal,146,ZURi-ZiLL,RE-RAVE,1,2 6 11 16 17,12 18,,,,Fiesta 2,World,
Normal,128,Future Funk Squad,Rippin' It Up,1,2 5 9 16,4 18,,,,Fiesta 2,World,
Normal,140,Beltaine,Rockhill,1,3 6 11 16,12 18,,,,Fiesta 2,World,
Normal,147,Ayu Ting Ting,Sik Asik,1,3 5 8 13,4 14,,,,Fiesta 2,World,
Normal,155,Zicron,Star Command,1,3 5 12 15 19,14 21 23,,,,Fiesta 2,World,
Normal,122,Sugar Eyes,Sugar Eyes,1,1 3 6 8 10 13,4 9,,,,Fiesta 2,World,
Normal,112,Celldweller,Switchback,1,3 5 9 15 18,10 16 18,,,,Fiesta 2,World,
Normal,172,KaW,Take Me Back,1,3 7 9 17,10 16,,,,Fiesta 2,World,
Normal,150,Hi-G,Tribe Attacker,1,3 6 9 16,10 15,,,4,Fiesta 2,World,
Normal,128,MAX,U Got Me Rocking,1,3 6 8 17 18,4 17,,3,,Fiesta 2,Original,
Short,128,MAX,U Got Me Rocking,1,17,17,,,,Fiesta 2,Short Cut,
Normal,145,SHK,Unique,1,3 6 10 15 17,12 16 19,,,,Fiesta 2,Original,
Short,145,SHK,Unique,1,18,16,,,,Fiesta 2,Short Cut,
Normal,166,Smiley,Utopia,1,4 7 9 17,9 18,,,,Fiesta 2,World,
Normal,180,Inspector K,Virtual Emotion,1,3 7 11 17,18,,,2,Fiesta 2,World,
Normal,310,ZiGZaG,VVV,1,18 23,16 19,,,,Fiesta 2,World,
Remix,200,Doin & MAX,What Are You Doin'?,1,19,24,,,,Fiesta 2,Remix,
Normal,246,Yak Won,Windmill,1,8 13 17 21,14 18 24,,,,Fiesta 2,Original,
Normal,160,Smiley,Xuxa,1,3 5 9 14,12 18,,,2,Fiesta 2,World,
Normal,162,Affinity,Y2Z,1,3 6 9 16,9 17,,,,Fiesta 2,World,
Normal,90.01,SID-SOUND,Yeo rae a,1,1 3 5 8 13,5 12,,,,Fiesta 2,Original,
Normal,156,DM Ashura,Allegro Con Fuoco,1,4 7 11 17 22,9 18 23,1,6,,Fiesta EX,World,
Normal,170,Doin,ASDF,1,9 17,10 17,,,,Fiesta EX,Original,
Normal,128,MAX & Rorychesell (SID-SOUND),Butterfly,1,3 6 8 13 16,7 17,2,3,,Fiesta EX,Original,
Normal,203,Doin,Cleaner,1,4 7 12 18 22 23,20 24 26,,,,Fiesta EX,Original,
Short,203,Doin,Cleaner,1,21,20,,,,Fiesta EX,Short Cut,
Full,220,Crash,Crashday,1,22,22,,,,Fiesta EX,Full Song,
Normal,220,Crash,Crashday,1,4 6 11 17 23 24,17 26,,,,Fiesta EX,K-Pop,
Remix,128,MAX,Everybody Got 2 Know,1,19,18,,,,Fiesta EX,Remix,
Normal,150,Sanxion7,Gargoyle,1,4 7 9 18 22,12 20 23,2,,,Fiesta EX,World,
Normal,145,Banya Production,Hungarian Dance V,1,4 6 8 17 18,9 17,2,,,Fiesta EX,Original,
Full,180,Doin,Interference,1,18,15 18,,,,Fiesta EX,Full Song,
Normal,180,Doin,Interference,1,11 18,12 19 21,2,3,,Fiesta EX,Original,
Normal,140,MAX & Seorryang (SID-SOUND),Jonathan's Dream,1,8 16,10 15,,,,Fiesta EX,Original,
Normal,135,SHK,Native,1,3 5 9 17 20,10 18,2,3,,Fiesta EX,Original,
Normal,173,Zicron,Necromancy,1,4 7 10 18 20,13 19 24,2,3,,Fiesta EX,World,
Normal,155,MAX,Overblow,1,4 7 10 16 18 20,12 18 20,2,3,2,Fiesta EX,Original,
Short,155,MAX,Overblow,1,18,17,,,,Fiesta EX,Short Cut,
Normal,160,V.A.,Pavane,1,3 6 10 17,16 22,2,,,Fiesta EX,Original,
Normal,200,Doin,Pine Nut,1,13 20,16,,,,Fiesta EX,Original,
Normal,144,DM Ashura feat. MC Jay & Veronica,Rave Until The Night Is Over,1,2 5 9 15,11 17,3,4,,Fiesta EX,World,
Normal,135,SHK,Reality,1,3 6 8 14 17,4 15,4,2,,Fiesta EX,Original,
Normal,175,Vospi,Smells Like A Chocolate,1,4 6 9 16,12 17,1,3,,Fiesta EX,World,
Normal,170,SHK,Take Out,1,4 7 11 17 20,13 19 22 23,,,3,Fiesta EX,Original,
Short,170,SHK,Take Out,1,18,19,,,,Fiesta EX,Short Cut,
Normal,240,Banya Production,The Devil,1,4 6 9 12 20,13 21,,,2,Fiesta EX,Original,
Short,156,Doin,Trotpris,1,14,15,,,,Fiesta EX,Short Cut,
Remix,222.22,Doin,Vacuum Cleaner,1,15 20 25,20 27,,,,Fiesta EX,Remix,
Normal,128,MAX,We Got 2 Know,1,1 5 8 17 20,4 18,2,3,2,Fiesta EX,Original,
Normal,130,Throwdown,What Happened,1,3 7 12 17 20,20 23,,,,Fiesta EX,World,
Normal,147,DM Ashura,X-Rave,1,3 6 9 17,11 20,2,6,,Fiesta EX,World,
Short,147,DM Ashura,X-Rave,1,16,18,,,,Fiesta EX,Short Cut,
Normal,96,Banya Production,2006. LOVE SONG,1,3 10 12 15,13,,5,,NX ~ NXA,Original,
Normal,135,Yahpp,Arch of Darkness,1,2 4 5 8 14 16,7 18 20,,,,NX ~ NXA,Original,
Remix,120,Banya Production,Banya-P Guitar Remix,1,22,24,,,,NX ~ NXA,Remix,
Full,190,Yahpp,Beat of The War 2 Full song,1,19,20,,,,NX ~ NXA,Full Song,
Normal,124,Banya Production,Beat the ghost,1,3 9 18 20,7 20,,,,NX ~ NXA,Original,
Remix,210,Yahpp,BEMERA,1,16 24,18 26,,,,NX ~ NXA,Remix,
Remix,105,Big metra,Big metra Remix,1,5 19,17,,,,NX ~ NXA,Remix,
Normal,170,Yahpp,Blaze Emotion,1,2 3 6 7 9 16 17,10 17 18,,,,NX ~ NXA,Original,
Normal,168,Banya Production,Bullfighter's Song,1,4 5 8 16,9 17 21,,,,NX ~ NXA,Original,
Normal,185,Yahpp,Cannon X.1,1,3 7 10 20 21,13 22,,,,NX ~ NXA,Original,
Remix,180,Banya Production,Caprice of DJ Otada,1,11 19,22 25,,,,NX ~ NXA,Remix,
Normal,160,Banya Production,Caprice of Otada,1,4 6 8 17 19,10 18 21,,,,NX ~ NXA,Original,
Normal,210,Yahpp,Chimera,1,4 7 11 16 16 23,16 25,,,2,NX ~ NXA,Original,
Full,128,Yahpp,Chopsticks Challenge,1,15,19,,,,NX ~ NXA,Full Song,
Normal,128,Yahpp,Chopsticks Challenge,1,6 17,3 16,1,,,NX ~ NXA,Original,
Normal,140,OscillatorX,Dance All Night,1,5 13,15,2,,,NX ~ NXA,World,
Normal,130,Elpis,Dance Vibrations,1,4 5 10 14,15 18,1,6,,NX ~ NXA,World,
Normal,210,Vassline,Dawn of The Apocalypse,1,4 14 21,14 21,,,,NX ~ NXA,K-Pop,
Full,162,Nina Pilots,Digan Lo Que Digan,1,7 18,,,,,NX ~ NXA,Full Song,
Normal,162,Nina Pilots,Digan Lo Que Digan,1,3 4 6 7 9 16,13 18,,8,,NX ~ NXA,World,
Normal,180,Banya Production,DJ Otada,1,4 6 8 19,14 22,,,,NX ~ NXA,Original,
Normal,120,Banya Production,Do U Know That-Old School,1,4 6 14,18,,8,,NX ~ NXA,Original,
Remix,156,Banya Production,Dr.KOA,1,8 18,20,,,,NX ~ NXA,Remix,
Normal,151,Zig Zag,Energizer,1,4 7 9 16,11 17,2,,,NX ~ NXA,World,
Remix,200,Banya Production,EXTRA BanYa Remix,1,8 21,13,,,,NX ~ NXA,Remix,
Normal,162,Yahpp,Faster Z,1,6 8 12 16 19 20,14 20 23,,,,NX ~ NXA,Original,
Normal,170,Yahpp,Final Audition Ep. 2-1,1,3 4 7 18 20 21,9 21 22,,,,NX ~ NXA,Original,
Normal,200,Yahpp,Final Audition Ep. 2-2,1,7 16 17 21 22,18 23 24,,,,NX ~ NXA,Original,
