Type,BPM,Artist,Song Title,Version,Single,Double,Single Performance,Double Performance,Co-Op,Series,Channel,Exclusivity
Normal,170,Yahpp,Final Audition Ep. 2-X,1,3 5 8 17 23,21 24,,2,,NX ~ NXA,Original,
Normal,120,Banya Production,Guitar Man,1,3 9 13 18,10 13 19,,,,NX ~ NXA,Original,
Normal,104,Banya Production,Gun Rock,1,5 11 17 18,11 18 22,,,,NX ~ NXA,Original,
Normal,150,Banya Production,Higgledy Piggledy,1,2 6 9 14 16,8 15,1,,,NX ~ NXA,Original,
Normal,120,Banya Production,Jam O Beat,1,7 14,14,,,,NX ~ NXA,Original,
Normal,156,Banya Production,K.O.A : Alice In Wonderworld,1,2 3 5 8 17,10 18,,,,NX ~ NXA,Original,
Full,162,Yahpp,Love is a Danger Zone 2 Full song,1,19,21,,,,NX ~ NXA,Full Song,
Normal,162,Banya,Love is a Danger Zone pt.2 Another,1,16 17,,,,2,NX ~ NXA,Original,
Normal,130,Banya Production,Money,1,10 14,12 16,4,,,NX ~ NXA,Original,
Remix,170,Banya Production,Money Fingers,1,8 16,9 17,,,,NX ~ NXA,Remix,
Normal,180,Banya Production,Monkey Fingers 2,1,6 10 17,9 19,,,,NX ~ NXA,Original,
Remix,120,msgoon,msgoon RMX pt.1,1,7 17 17,,,,,NX ~ NXA,Remix,
Remix,168,msgoon,msgoon RMX pt.3,1,6 17,11 20,,,,NX ~ NXA,Remix,
Normal,136,Banya Production,My Dreams,1,4 10 17 18,18,,5,,NX ~ NXA,Original,
Remix,160,Nina Pilots & PXNDX,Nina Pxndx Mix,1,6 16,8,,,,NX ~ NXA,Remix,
Full,98,Big metra,Panuelito Rojo,1,9 16,18,,,,NX ~ NXA,Full Song,
Normal,98,Big metra,Panuelito Rojo,1,5 10 17,18,1,4,,NX ~ NXA,World,
Full,160,PXNDX,Procedimientos Para Llegar A Un Común Acuerdo,1,6 17,7,,,,NX ~ NXA,Full Song,
Normal,160,PXNDX,Procedimientos Para Llegar A Un Común Acuerdo,1,3 7 15 18,7 16 19,,,,NX ~ NXA,World,
Normal,162,Yahpp,Pumptris 8Bit ver.,1,3 5 8 16 17,,15,,2,NX ~ NXA,Original,
Normal,153,Yahpp,Pumptris Quattro,1,3 7 12 17 19,13 20 22,10,2,,NX ~ NXA,Original,
Normal,136,Yahpp,Solitary 1.5,1,7 16,18,4,6,,NX ~ NXA,Original,
Normal,134,Banya Production,The People didn't know,1,2 5 12 15,7 17,,,,NX ~ NXA,Original,
Remix,134,Banya Production,The People didn't know “Pumping Up”,1,7,4 17,,,,NX ~ NXA,Remix,
Normal,104,Banya Production,Toccata,1,4 7 10 17,14 17,3,6,,NX ~ NXA,Original,
Full,105,Big metra,Trato De No Trabarme,1,10 22,24,,,,NX ~ NXA,Full Song,
Remix,162,Banya Production,Turkey Virus,1,8 15,11,,,,NX ~ NXA,Remix,
Normal,92,Banya Production,Ugly Dee,1,3 5 9,11 15,,,,NX ~ NXA,Original,
Remix,195,Yahpp,WI-EX-DOC-VA,1,15 21,15 23,,,,NX ~ NXA,Remix,
Normal,122,Yahpp,Witch Doctor #1,1,2 5 8 9 15 16 18,17 19 20,3,7,,NX ~ NXA,Original,
Normal,200,SLAM,1950,1,17 20 23 25,21 25 27,,3,,Prime,Original,
Normal,200,D_AAN,Achluoias,1,8 15 18 22 24,12 16 24 26,,3,,Prime,World,
Normal,130,Zicron,Across the Ocean,1,3 6 9 15,11 16,,,,Prime,World,
Normal,152,TatshMusicCircle,"Ai, Yurete...",1,1 3 6 9 13 16,8 15 18,,,,Prime,J-Music,
Normal,160,DM Ashura,Allegro Piu Mosso,1,4 6 11 16 19,13 19,,,,Prime,Original,
Normal,125,Bakusute Sotokanda Icchome,Amai Yuuwaku Dangerous,1,1 3 6 11 15,5 10 16,,3,,Prime,J-Music,
Normal,150,Gentle Stick,Amphitryon,1,6 11 18,12 20,,,,Prime,Original,
Normal,192,DM Ashura,Annihilator Method,1,7 10 15 19 23,12 20 24,,4,,Prime,Original,
Normal,175,Memme,Avalanche,1,4 6 9 18 22,10 19 24,,3,3,Prime,Original,
Remix,175,MAX & MEMME,Avalanquiem,1,19 23,25,,,,Prime,Remix,
Normal,158,MAX,B2,1,4 7 11 16 18,13 19,,3,,Prime,Original,
Normal,204,HitoshizukuP X YamaΔ,Bad ∞ End ∞ Night,1,2 4 6 10 13 17 19,11 18 23,,4,3,Prime,J-Music,
Full,138,Masayoshi Minoshima,Bad Apple!! feat. Nomico,1,10 14 17,11 18 22,,,4,Prime,Full Song,
Normal,138,Masayoshi Minoshima,Bad Apple!! feat. Nomico,1,1 3 5 9 13 15 17 19,10 18 21,,2,,Prime,J-Music,
Full,134,Crayon Pop,Bar Bar Bar,1,6,15,,,,Prime,Full Song,
Normal,134,Crayon Pop,Bar Bar Bar,1,3 5 8 14,4 11 15,,,3,Prime,K-Pop,
Remix,170,Banya & Warak,Beethoven Influenza,1,18 21,21,,,,Prime,Remix,
Normal,192,Yahpp,Blaze Emotion (Band Version),1,2 8 17,4 18,,,,Prime,Original,
Normal,176,MAZO,Break It Down,1,7 14 16,5 12 17,,,,Prime,Original,
Normal,140,Cashew,Campanella,1,6 9 16,10 16,,,,Prime,Original,
Normal,175,Memme,Chinese Restaurant,1,4 7 10 16 18,10 17 20,,3,,Prime,Original,
Normal,128,SID-SOUND,Cosmical Rhythm,1,3 6 8 15,10 16 18,,2,,Prime,World,
Full,163,TatshMusicCircle,Creed - 1st Desire -,1,18 23,19 24,,,,Prime,Full Song,
Normal,163,TatshMusicCircle,Creed - 1st Desire -,1,4 7 12 18 21,11 18 23,,5,,Prime,J-Music,
Normal,149,SID-SOUND,Dolly Kiss,1,3 6 14 17,6 15,,3,,Prime,World,
Normal,135,AOA,ELVIS,1,2 4 7 15 17,5 16,,3,,Prime,K-Pop,
Normal,128,Warak,Elysium,1,4 8 15,10 16,,2,,Prime,Original,
Normal,170,Matduke,Enhance Reality,1,9 14 16 19,11 18 20,,,,Prime,World,
Normal,175,3R2,Feel My Happiness,1,3 10 17,6 18 21,,,,Prime,World,
Normal,158,Cherry Filter,Flying Duck,1,3 7 10 16,11 18,,,,Prime,K-Pop,
Normal,180,Memme,Force of Ra,1,7 12 17 19,12 20,,,,Prime,Original,
Full,178,TatshMusicCircle,FOUR SEASONS OF LONELINESS ver β,1,14 19,14 19,,,,Prime,Full Song,
Normal,178,TatshMusicCircle,FOUR SEASONS OF LONELINESS ver β,1,1 4 6 10 14 17 20,10 14 18 21,,2,2,Prime,J-Music,
Normal,123,Dal Shabet,"Hate, Don't Hate!",1,2 4 6 15,6 16,,2,,Prime,K-Pop,
Normal,178,AKB48,Heavy Rotation,1,2 4 5 9 16 18,6 16 19,,,2,Prime,Original,
Short,178,AKB48,Heavy Rotation,1,10 15 18,9 16 20,,,,Prime,Short Cut,
Normal,162,Block B,HER,1,4 6 9 16,7 17,,3,2,Prime,K-Pop,
Normal,150,Gentle Stick,Hestia,1,4 7 10 18,11 20,,,,Prime,Original,
Normal,225,Last Note.,Houkago Stride,1,3 6 10 15 19,10 16 21,,,,Prime,J-Music,
Normal,192,Yahpp,Hyacinth,1,9 13 18 21,12 19 23,,,,Prime,Original,
Normal,145,MAX,HYPERCUBE,1,6 10 15 17,10 16 20,,4,,Prime,Original,
Normal,131,CNBLUE,I'm Sorry,1,4 6 9 16,8 17,,3,,Prime,K-Pop,
Normal,140,ETIA.,Idealized Romance,1,2 4 7 11 16 18,10 18,,,,Prime,J-Music,
Normal,175,Sakuzyo,Imprinting,1,4 7 11 17 20,12 16 20 24,,4,,Prime,J-Music,
Normal,170,Norazo,Ineffective Boss Without Power,1,4 6 8 18,5 19,,3,3,Prime,K-Pop,
Normal,170,void,Just Hold On (To All Fighters),1,4 7 10 16 21,12 18 22 25,,2,,Prime,J-Music,
Normal,173,Vesuvia & REDSHIFT,Karyawisata,1,4 7 10 15 17 20,7 16,,4,,Prime,World,
Normal,180,M2U,Katkoi,1,7 10 14 18,12 15 19,,,,Prime,Original,
Normal,170,Warak,Latino Virus,1,3 7 9 17,12 19,,3,2,Prime,Original,
Normal,180,Doin,Leakage Voltage,1,10 15 17 20,12 19 22,,,,Prime,Original,
Normal,155,SHK,Like Me,1,6 10 14 17,11 18,,,2,Prime,Original,
Normal,125,Daddy Yankee,Limbo,1,2 4 6 15,5 15,,,,Prime,World,Latin America
Normal,125,Outsider,Loner,1,3 5 8 15 19,6 17 22,,,,Prime,K-Pop,
Normal,139,Paul Bazooka,Mad5cience,1,5 16 20,7 16,,,,Prime,Original,
Normal,168,Cranky,MATADOR,1,4 7 10 18 21,7 16 19 21,,3,,Prime,World,
Normal,135,Lylloo feat. Egas,Melodia,1,2 4 6 14,4 15,,,,Prime,World,Latin America
Normal,136,Paul Bazooka,Meteorize,1,3 5 10 15 17,8 16 18,,3,,Prime,Original,
Normal,175,3R2,Milky Way Galaxy,1,6 11 17,11 18,,2,,Prime,World,
Normal,136,ETIA.,Mitotsudiara,1,1 4 9 15 18,10 16 19,,,,Prime,J-Music,
Normal,158,MAX,Moment Day,1,3 6 10 15 17 18,9 16 19,,,2,Prime,Original,
Full,145,DM Ashura,Move That Body!,1,17 18,19,,,,Prime,Full Song,
Normal,145,DM Ashura,Move That Body!,1,3 5 8 12 17 20,10 18,,,,Prime,Original,
Short,145,DM Ashura,Move That Body!,1,16,18,,,,Prime,Short Cut,
Normal,160,M2U,Nemesis,1,4 7 11 16 18,12 20,,4,2,Prime,Original,
Full,106,Apink,NoNoNo,1,14 15,16,,,,Prime,Full Song,
Normal,106,Apink,NoNoNo,1,2 3 5 14,5 14,15,4 15,2,Prime,K-Pop,
Normal,119,VIXX,On and On,1,2 4 6 15,5 15,,5,,Prime,K-Pop,
Normal,135,Epik High,One,1,1 3 5 15,5 16,,3,,Prime,K-Pop,
Full,140,KARA,Pandora,1,17,18,,,,Prime,Full Song,
Normal,140,KARA,Pandora,1,2 4 7 16,6 16,,4,,Prime,K-Pop,
Remix,220,MAX & NATO,PARADOXX,1,21 23 26,25 28,,,,Prime,Remix,
Normal,170,SynthWulf,Point Zero One,1,9 16 20,10 17 22,,4,,Prime,Original,
Normal,165,Tatsh,PRIME,1,4 7 11 16 18 20,12 16 18 20,,,,Prime,J-Music,
Short,128,MAX,PRIME Opening,1,15,15,,,5,Prime,Short Cut,
Normal,130,Wisin Ft. Michel Teló,Que Viva La Vida,1,2 4 6 16,7 16,,,,Prime,World,Latin America
Normal,188,ETIA.,Queen Of The Red,1,4 7 11 15 18,12 16 19,,3,,Prime,J-Music,
Normal,170,SynthWulf,Ragnarok,1,7 11 16 18 20,9 13 17,,,,Prime,World,
Normal,170,Cashew,Red Snow,1,7 11 16 19,12 18 20,,,,Prime,Original,
Normal,172,Yahpp,Red Swan,1,4 6 8 18,12 20 21,,4 20,2,Prime,Original,
Normal,155,MAX,Reminiscence,1,3 6 10 15 17,10 17 18,,3,2,Prime,Original,
Normal,180,Doin,Removable Disk0,1,3 6 15,5 16,,,,Prime,Original,
Normal,190,Last Note.,Renai Yuusha,1,3 6 12 17 19,4 13 18 20,,,3,Prime,J-Music,
Normal,160,MAX,Requiem,1,4 7 11 16 19,9 19 23,,4,,Prime,Original,
Normal,198,CYO Style,Robot Battle,1,8 12 18 21,12 19 23,,5,,Prime,Original,
Normal,175,Matduke,Rock The House,1,7 10 17,10 13 18 22,,3,,Prime,World,
Short,175,Matduke,Rock The House,1,15 18,20,,,,Prime,Short Cut,
Normal,113,r300k,Scorpion King,1,3 5 8 15 19,10 16 20,,3,,Prime,Original,
Normal,160,SID-SOUND,Selfishness,1,3 6 11 17,12 18 21,,3,,Prime,World,
Short,160,SID-SOUND,Selfishness,1,17,18,,,,Prime,Short Cut,
Normal,145,Last Note.,Setsuna Trip,1,1 3 5 9 13 16 18,8 14 19,,3,2,Prime,J-Music,
Normal,167,Nato,Silhouette_Effect,1,4 7 10 18,12 20,,4,,Prime,Original,
Short,167,Nato,Silhouette_Effect,1,18,17,,,,Prime,Short Cut,
Normal,175,you,Smile Diary,1,4 7 11 16 19,8 17 20,,,,Prime,J-Music,
Normal,172,TatshMusicCircle,Sora no Shirabe,1,3 8 12 15 18,11 16 20,,,2,Prime,J-Music,
Normal,175,typeMARS,Stardust Overdrive,1,4 9 16 18,5 13 16 19 24,,3,,Prime,World,
Short,175,typeMARS,Stardust Overdrive,1,16,17,,,,Prime,Short Cut,
Normal,152,void,Sudden Romance [PIU Edit],1,4 6 9 14 19,8 14 19,,,,Prime,J-Music,
Normal,174,MAX,Sugar Conspiracy Theory,1,1 3 6 10 15 18 19,7 11 17 20,,5,2,Prime,Original,
Full,128,T-ARA,Sugar Free,1,15,15,,,,Prime,Full Song,
Normal,128,T-ARA,Sugar Free,1,4 6 8 15 17,5 16 18,,3,,Prime,K-Pop,
Normal,145,SHK,Super Fantasy,1,4 7 10 14 16 19,11 18 21,,2,2,Prime,Original,
Short,145,SHK,Super Fantasy,1,19,17,,,,Prime,Short Cut,
Normal,112,Supreme Team,Supermagic,1,2 4 6 14,5 15,,4,,Prime,K-Pop,
Normal,160,MAX & DOOM,THE REVOLUTION,1,7 11 17 19,12 19 22,,3,,Prime,World,
Normal,230,Last Note.,Trashy Innocence,1,1 3 5 10 14 20,10 15 24,,4,2,Prime,J-Music,
Normal,128,Miura Daichi,Unlock,1,2 3 5 7 11 14,3 9 15,,,,Prime,Original,
Normal,126,SHINWHA,VENUS,1,2 3 5 14,6 14,,,,Prime,K-Pop,
Normal,136,Block B,Very Good,1,3 6 9 15,5 15,,4,,Prime,K-Pop,
Normal,198,Vospi,Video Out C,1,9 14 17 22,14 23,,4,,Prime,World,
Normal,140,SHK,Violet Perfume,1,4 6 8 14 17,10 15 19,,4,,Prime,Original,
Normal,200,Nato,Yog-Sothoth,1,9 18 21 23,17 23 25,,5,3,Prime,Original,
Short,200,Nato,Yog-Sothoth,1,13 18 21,16 21,,,,Prime,Short Cut,
Normal,198,Bakusute Sotokanda Icchome,Yoropiku Pikuyoro!,1,3 5 9 15,5 16,3,4,,Prime,J-Music,
Normal,137,CYO Style & Henohenomoheji,You Again My Love,1,1 3 6 14,6 14,,,,Prime,Original,
Normal,128,MAX,You Got Me Crazy,1,4 6 9 17 18,5 18,,4,,Prime,Original,
Normal,130,Outsider,Acquaintance,1,3 7 9 17,7 18,,4,2,Prime 2,K-Pop,
Normal,175,mzet:-p,Arcana Force,1,4 9 16,10 17,,2,,Prime 2,Original,
Normal,148,ATAS,Asterios -ReEntry-,1,4 6 11 14 17,8 18,,3,,Prime 2,Xross,
Full,135,BIG BANG,BANG BANG BANG,1,6 18,20,,,,Prime 2,Full Song,
Normal,135,BIG BANG,BANG BANG BANG,1,1 3 5 10 15,6 16,3,3,,Prime 2,K-Pop,
Normal,125,BLACKPINK,BOOMBAYAH,1,2 4 6 9 13,7 15,,3,2,Prime 2,K-Pop,
Normal,160,Lunatic Sounds,Bring Back The Beat,1,7 12 17,8,,5,,Prime 2,Original,
Normal,170,Warak,Christmas Memories,1,3 5 8 14,9 15,,4,2,Prime 2,Xross,
Normal,160,SHK,Death Moon,1,3 6 10 14 17,7 17,,3,,Prime 2,Xross,
Short,160,SHK,Death Moon,1,9 15 19 22,17 22,,,,Prime 2,Short Cut,
Normal,194,Doin,Further,1,10 18 22,14 17 22,,3,,Prime 2,Original,
Normal,152,Nato,God Mode feat. Skizzo,1,5 8 13 18,9 17,,4,,Prime 2,Original,
Normal,170,Memme,Hellfire,1,7 11 15,9 23,,4,,Prime 2,Original,
Normal,130,Block B,Jackpot,1,1 3 6 9 15,6 15,,3,,Prime 2,K-Pop,
Normal,120,SHK,Last Rebirth,1,3 5 8 13,7 14,,3,,Prime 2,Original,
Normal,165,KEIN,Le Grand Bleu,1,7 12 16 20,9 18,,6,2,Prime 2,Xross,
Normal,106,GFriend,Me Gustas Tu,1,2 4 6 13,6 14 16,,4,,Prime 2,K-Pop,
Normal,182,TatshMusicCircle,Moon Light Dance,1,3 7 11 14,4 15,,4,2,Prime 2,J-Music,
Normal,128,T-ARA,NUMBER NINE,1,3 5 8 11 13,8 15,,4,,Prime 2,K-Pop,
Normal,128,PRODUCE101,PICK ME,1,1 3 5 8 13,6 10 16,,3,,Prime 2,K-Pop,
Normal,82,iKON,RHYTHM TA,1,2 4 7 10 15,5 11,,4,,Prime 2,K-Pop,
Normal,157,MAX,Sarabande,1,2 4 7 12 16 20,11 18 24,,4,,Prime 2,Original,
Short,157,MAX,Sarabande,1,9 16 18,17,,,,Prime 2,Short Cut,
Normal,112,EXID,Up&Down,1,2 4 7 9 15,5 15,,5,,Prime 2,K-Pop,
Remix,175,Memme,Vulcan,1,22,24,,,,Prime 2,Remix,
Normal,122,MAMAMOO,You're the best,1,2 4 6 10 15,7 10,,2,2,Prime 2,K-Pop,
Normal,140,Transin,Clue,1.01,4 8 12 16 18,10 18 20,,4,,Prime 2,Xross,
Normal,125,Vospi,Just Kiddin,1.01,5 13 16,9 18,,5,,Prime 2,World,
Full,106,GFriend,Me Gustas Tu,1.01,16,17,,,,Prime 2,Full Song,
Full,125,BLACKPINK,BOOMBAYAH,1.02,10 17,18,,,,Prime 2,Full Song,
Normal,200,Dreamcatcher,Chase Me,1.02,3 5 9 15 18,11 19,,3,,Prime 2,K-Pop,
Normal,170,MAX,Kasou Shinja,1.02,4 7 9 16 18,12 19,,3,,Prime 2,Original,
Normal,156,SID-SOUND,STEP,1.02,7 13 17,12 18,,2,,Prime 2,World,
Full,82,Yassi Pressman & Nadine Lustre,HUSH,1.03,15,16,,,,Prime 2,Full Song,Philippines
Normal,145,M2U,Hyperion,1.03,5 9 14,11 18,,4,,Prime 2,Xross,
Normal,176,DM Ashura,Allegro Furioso,1.04,5 10 13 17 20,14 20,,4,,Prime 2,Original,
Normal,196,Dreamcatcher,Good Night,1.04,3 5 9 17 20 23,5 19 22 24,,3,,Prime 2,K-Pop,
Short,145,MAX,PRIME2 Opening,1.04,7 12 17,18,,,,Prime 2,Short Cut,
Normal,170,Archefluxx,Redline,1.04,5 10 16 18,13 19 20 21,,5,,Prime 2,Xross,
Normal,146,Warak,Super Stylin',1.04,7 9 11 17,9 12,,4,,Prime 2,Xross,
Normal,160,Rainbowdragoneyes,Seize My Day,1.05,2 6 10 14 18,7 12 19,,4,,Prime 2,World,
Normal,160,Nato,Start On Red,1.05,4 8 11 15 19,12 18 20,,3,,Prime 2,Xross,
Full,112,EXID,Up&Down,1.05,8 18,19,,,,Prime 2,Full Song,
Normal,152,void,Utsushiyo No Kaze feat. Kana,1.05,7 11 16,11 19,,5,,Prime 2,Original,
Full,130,Outsider,Acquaintance,1.06,20,22,,,,Prime 2,Full Song,
Normal,154,SID-SOUND,Magical Vacation,1.06,6 11 16,7 13,,3,,Prime 2,Xross,
Normal,220,Nato,Shub Niggurath,1.06,11 15 19 21 24,17 23 26,,3,,Prime 2,Original,
Normal,135,BIG BANG,SOBER,1.06,2 4 7 13,3 14,,3,,Prime 2,K-Pop,
Normal,183,SANY-ON,BEDLAM,1.07,8 15 18 22,13 20 24,,4,,Prime 2,Xross,
Normal,162,MAZO,Hey U,1.07,5 10 15,10 16,,4,,Prime 2,Original,
Remix,200,Doin,Leather,1.07,18 21 24,22 26,,,,Prime 2,Remix,
Normal,155,MAX,Overblow 2,1.07,5 9 15,7 14,,3,,Prime 2,Original,
Normal,157,DM Ashura,Fallen Angel,1.08,6 10 17 19,10 15 21,,3,,Prime 2,World,
Normal,130,2NE1,Gotta Be You,1.08,3 5 8 15 17,6 16 18,,3,,Prime 2,K-Pop,
Short,220,Nato,Shub Niggurath,1.08,18 22,23,,,,Prime 2,Short Cut,
Full,200,Dreamcatcher,Chase Me,1.09,19,25,,,,Prime 2,Full Song,
Normal,170,Archefluxx,Kill Them!,1.09,5 10 15,9 19,,4,,Prime 2,Xross,
Normal,119,r300k,Time Attack <Blue>,1.09,8 15 18,10 16 20,,3,,Prime 2,Xross,
Normal,160,Brandy,Cross Time,1.1,3 7 11 15,11 17,,3,,Prime 2,Xross,
Normal,148,DJ Counterforce,Heart Attack,1.1,7 11 16 18,9 18 20,,3,,Prime 2,Original,
Normal,185,AmamoriP,Keep On!,1.1,6 12 15 18 21,12 17 20 22,,3,,Prime 2,Xross,
Normal,145,Dasu feat. Kagamine Len,Nakakapagpabagabag,1.1,10 14 18,15,,4,2,Prime 2,World,
Normal,170,void,Anguished Unmaking,2,3 5 8 15 17,9 18 22,,,,Prime 2,Original,
Normal,80,Wanna One,Beautiful,2,2 3 5 9 15,5 12,,,,Prime 2,K-Pop,
Normal,125,Wanna One,Energetic,2,2 4 6 9 13 16,6 14 16 19,,,,Prime 2,K-Pop,
Normal,147,Quree,HTTP,2,2 4 7 14 17 21,10 12 19 23,,,,Prime 2,Original,
Short,145,M2U,Hyperion,2,15 20,21,,,,Prime 2,Short Cut,
Normal,175,Lunatic Sounds,INFINITY,2,10 15 18 21,10 19 24,,,3,Prime 2,Xross,
Short,170,MAX,Kasou Shinja,2,20 21,,,,,Prime 2,Short Cut,
Normal,103,WINNER,Really Really,2,2 4 6 13 15,7 16,,,,Prime 2,K-Pop,
Normal,150,SHK,Super Capriccio,2,4 7 11 16 18,11 18,,,,Prime 2,Original,
Normal,142,Jehezukiel,Twist of Fate (feat. Ruriling),2,4 6 10 16 18,10 17 20,,,,Prime 2,Original,
Normal,160,Beautiful Day,V3,2,6 9 14 17,9 18 21 24,,,,Prime 2,Xross,
Normal,128,PRODUCE101,PICK ME (101 Trainee Boys),2.01,2 4 6 14 17,5 16 18,,,,Prime 2,K-Pop,
Normal,160,5argon,Rave'til the earth's end,2.01,4 7 15 17 19,13 18 20,,,,Prime 2,Original,
Normal,136,Brandy,The Festival of Ghost2 (Sneak),2.01,9 16 18,10 18,,,,Prime 2,Xross,
Normal,175,Triplestar,Donatello,2.02,12 17 21,18,,,,Prime 2,Xross,
Normal,160,Neutral Moon,Travel to Future,2.02,3 7 11 17 19,12 18 21 23,,,,Prime 2,Original,
Normal,150,Skizzo,Up & Up (Produced by AWOL),2.02,3 5 8 17,9 18 20,,,,Prime 2,Original,
Normal,150,typeMARS,Awakening,2.03,7 10 14 16 19,9 13 17 20,,,,Prime 2,Original,
Normal,174,P4Koo,Gothique Resonance,2.03,7 11 18 20,12 20,,,,Prime 2,Xross,
Normal,175,mzet:-p,Passing Rider,2.03,8 12 16 20,10 20,,,,Prime 2,Original,
Normal,153,Tatsh,SilverBeat feat. ChisaUezono,2.03,4 7 12 16 18,7 12 18,,,,Prime 2,Original,
Normal,180,Memme,Tritium,2.03,8 12 17 20,10 14 19 22,,,,Prime 2,Original,
Normal,186,STREME REVERIE,A Site De La Rue,2.04,8 11 17 20,12 20 24,,,,Prime 2,Xross,
Normal,162,Memme,Black Dragon,2.04,5 8 11 17 20,11 17 19,,,,Prime 2,Xross,
Normal,200,HyuN,Cross Over,2.04,7 11 15 18 22,14 19 23,,,,Prime 2,Original,
Full,150,Sanxion7,Gargoyle,2.04,20 21 23,22 25,,,2,Prime 2,Full Song,
Normal,125,Cashe,Waltz of Doge,2.04,8 11 14 17 19,12 18 20,,,2,Prime 2,Original,
Normal,175,Lunatic Sounds,Break Out,2.05,4 8 12 16 19,12 18 22,,,,Prime 2,Original,
Normal,180,Memme,BSPower Explosion,2.05,8 11 17 20 22,13 20 23,,,,Prime 2,Xross,
Normal,220,D_AAN,ESCAPE,2.05,15 18 21 24,19 22 24,,,,Prime 2,Original,
Remix,220,Nato & EXC,Shub Sothoth,2.05,25,27,,,,Prime 2,Remix,
Normal,200,Doin,The Quick Brown Fox Jumps Over The Lazy Dog,2.05,10 17 20 23,14 24,,,,Prime 2,Original,
Normal,170,Aragon,Visual Dream II (In Fiction),2.05,5 8 16 18,10 19,,,,Prime 2,Xross,
